Tidsmerke,Age,Experience,Gender,Which company do you work for?,Which company do you work for [Normalized]?,How many people work there in total?,How many in a technical position?,Current work,I see myself as primarily...,Which programming languages do you know?,Do you know any SQL-dialects?,Do you know any SQL-dialects? [Normalized],Bash,C,C#,C++,Clojure,CoffeeScript,Go,Groovy,Java,JavaScript,Objective-C,PHP,Python,Ruby,Scala,Swift,Your favourite,What motivates you to learn a new programming language?,"How many programming languages do you think a ""good"" programmer should know?"
28.08.2015 kl. 10.50.10,46-50,10,Male,Aftonbladet,Aftonbladet,600,100,"Bash, Java, JavaScript",a backend developer,"AWK, Bash, Java, JavaScript, Perl, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",3,1,1,1,1,1,1,1,5,4,1,1,1,1,3,1,JavaScript,Need it for work,5
28.08.2015 kl. 10.54.57,31-35,8,Male,Aftonbladet,Aftonbladet,60,40,"Bash, Groovy, Java, JavaScript, Objective-C, PHP, Ruby, Swift",a fullstack developer,"Bash, C, C#, C++, Groovy, Java, JavaScript, Objective-C, PHP, Perl, Ruby, Swift, Visual Basic","SQL PL (IBM DB2), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",4,4,4,4,1,2,1,4,5,5,4,5,2,3,1,3,JavaScript,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 11.00.40,26-30,5,Male,Aftonbladet,Aftonbladet,300,80,"Bash, Java, JavaScript, PHP",a backend developer,"Java, JavaScript, PHP, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",2,2,3,2,1,1,1,2,4,3,1,4,1,1,2,1,Java,"Need it for work, Need it for non-work, Just to learn",2
28.08.2015 kl. 11.07.08,41-45,10,Male,Aftonbladet,Aftonbladet,300,60,"Bash, Java",a backend developer,"Bash, C, C++, Clojure, Groovy, Haskell, Java, JavaScript, Pascal, Perl, Prolog, Python, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",4,3,2,2,2,1,1,3,5,3,1,1,1,1,4,1,Java,"Need it for work, Just to learn",4
28.08.2015 kl. 15.41.30,31-35,8,Male,Aftonbladet,Aftonbladet,200,100,"Java, JavaScript",a fullstack developer,"C, C#, C++, Erlang, Haskell, Java, JavaScript, Lua, PHP, Python, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,2,3,2,1,3,2,1,4,5,1,4,2,1,2,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",3
31.08.2015 kl. 11.26.45,36-40,9,Male,Aftonbladet,Aftonbladet,400,90,"Bash, Java, JavaScript",a fullstack developer,"Bash, Java, JavaScript, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,1,1,1,1,2,1,2,5,5,1,2,2,1,4,1,JavaScript,Just to learn,4
03.09.2015 kl. 12.53.52,36-40,10,Male,Aftonbladet,Aftonbladet,370,60,JavaScript,a fullstack developer,"Bash, C, C#, C++, CoffeeScript, Common Lisp, Haskell, Java, JavaScript, PHP, Pascal, Perl, PowerShell, Python, Ruby, Visual Basic",T-SQL (Microsoft / Sybase),T-SQL ,2,4,4,3,1,2,1,1,3,4,1,2,2,2,2,2,JavaScript,Need it for work,5
15.09.2015 kl. 11.35.30,41-45,10,Male,Aftonbladet,Aftonbladet,400,80,"Bash, Java, JavaScript",devops,"AWK, Bash, C, C#, C++, CoffeeScript, Go, Groovy, Java, JavaScript, PHP, Perl, PowerShell, Prolog, Python, Ruby, Scala, Tcl, Visual Basic","SQL PL (IBM DB2), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","SQL PL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL , PL/PSM ",3,2,2,2,1,2,1,2,5,5,1,1,3,3,2,1,JavaScript,it often starts with an idea that I can't resist persuing,5
15.09.2015 kl. 13.17.53,31-35,4,Male,Aftonbladet,Aftonbladet,100,40,"Java, JavaScript",a fullstack developer,"C, C#, C++, Common Lisp, Erlang, Go, Groovy, Haskell, Java, JavaScript, PHP, PostScript, PowerShell, Python, Ruby, Rust, Scala, Swift","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","SQL/PSM , PL/SQL ",2,2,2,2,2,1,2,2,4,4,1,4,4,3,2,2,Go,Just to learn,10
29.09.2015 kl. 09.50.05,51-55,10,Male,Aftonbladet,Aftonbladet,400,80,"Bash, Java, JavaScript, PHP",a fullstack developer,"Bash, Clojure, Java, JavaScript, Objective-C, PHP, Perl, Scala, Simula, Tcl","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","SQL/PSM , PL/SQL ",2,1,1,1,2,2,1,1,4,5,2,3,1,1,3,1,Java,"Need it for work, Just to learn",10
03.09.2015 kl. 12.14.00,26-30,6,Male,Avito,Avito,55,15,"C, Go, JavaScript, PHP",a backend developer,"Bash, C, C#, C++, PHP, Python, Ruby, Visual Basic","PSQL (Interbase / Firebird), T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PSQL , T-SQL , PL/SQL , PL/pgSQL ",3,4,4,3,1,1,2,1,3,4,1,5,3,2,1,1,Go,"Need it for work, Just to learn",4
28.08.2015 kl. 12.48.32,26-30,6,Male,AVITO SCM,Avito,50,13,"Bash, C, C++, JavaScript, PHP",a fullstack developer,"Bash, C, C++, JavaScript, PHP, Pascal, Perl, Python, Ruby","PSQL (Interbase / Firebird), SQL PL (IBM DB2), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","PSQL , SQL PL , SQL/PSM , PL/SQL , PL/pgSQL , PL/PSM ",5,4,2,4,1,1,2,3,3,5,2,5,4,4,3,2,JavaScript,"Need it for non-work, Just to learn",6
03.09.2015 kl. 10.27.50,−25,6,Male,Avito.ma,Avito,50,15,"Bash, C, Go, JavaScript, PHP, Python, Ruby, Perl",a fullstack developer,"Bash, C, C++, Go, Java, JavaScript, PHP, Perl, Python, Ruby, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL , PL/PSM ",4,4,3,4,1,4,5,4,4,5,2,5,5,5,4,1,Go,"Need it for work, Need it for non-work, Just to learn, and Benchmarking",5
03.09.2015 kl. 15.35.44,26-30,4,Male,Avito.ma,Avito,50,12,"C, JavaScript, PHP",a fullstack developer,"Bash, C, C#, C++, Java, JavaScript, PHP, Python, Visual Basic","PSQL (Interbase / Firebird), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","PSQL , T-SQL , SQL/PSM , PL/pgSQL ",2,4,3,2,1,1,1,1,3,4,1,4,2,1,1,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",
15.09.2015 kl. 11.15.42,26-30,2,Male,Avito.ma,Avito,70,20,"Bash, C, JavaScript, PHP, html, css",a backend developer,"Bash, C, C#, C++, Cobra, Java, JavaScript, Objective-C, PHP, Pascal, PowerShell, Prolog, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",4,3,4,3,1,1,1,1,3,4,3,5,2,1,1,1,PHP,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 16.08.21,31-35,8,Male,Bergens Tidende,Bergens Tidende,150,12,"JavaScript, PHP",Product manager,"CoffeeScript, JavaScript, PHP, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,2,1,1,1,1,2,1,1,1,3,2,3,2,2,1,1,JavaScript,Just to learn,
15.09.2015 kl. 11.43.50,36-40,9,Male,Bergens tidende,Bergens tidende,150,12,"JavaScript, PHP, Python",a fullstack developer,"C, C++, Java, JavaScript, PHP, Perl, PostScript, PowerShell, Python, R, Visual Basic","SQL PL (IBM DB2), SPL (IBM Informix), T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , SPL , T-SQL , PL/SQL , PL/pgSQL ",4,3,1,3,1,2,1,1,4,4,2,4,3,1,1,1,JavaScript,Just to learn,1
28.08.2015 kl. 10.43.49,26-30,8,Male,Blocket,Blocket,160,40,"Java, Objective-C, Python, Ruby",a frontend developer,"Java, Objective-C, PHP, Python, Ruby, Swift","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,4,2,1,1,1,1,1,1,3,2,5,4,3,3,1,3,Swift,Need it for work,5
28.08.2015 kl. 10.46.50,36-40,10,Male,Blocket,Blocket,170,70,"Bash, C, C++, Java, JavaScript, Objective-C, PHP, Python, Swift, Perl, SQL, TMPL",a Hacker,"Bash, C, C#, C++, Cobra, Groovy, Java, JavaScript, Lua, Objective-C, PHP, Pascal, Perl, PowerShell, Python, Visual Basic, x86 assembler, TMPL ","T-SQL (Microsoft / Sybase), PL/pgSQL (PostgreSQL), SQLite","T-SQL , PL/pgSQL , SQLite",5,5,2,3,1,2,2,2,4,5,3,3,3,2,2,2,C,Need it for work,1
